iter	F1	CrossEntropy
0	0.9189189189	0.2033870531
1	0.9411764706	0.1120232804
2	0.9454545455	0.08237746482
3	0.9688888889	0.06892210876
4	0.981981982	0.05021730465
5	0.9775784753	0.04106598337
6	0.9955156951	0.03376485098
7	1	0.02447168157
8	1	0.01978064216
9	1	0.01396148964
10	1	0.01182362492
11	1	0.009789168091
12	1	0.008688984448
13	1	0.008343968967
14	1	0.007249122834
15	1	0.006461320716
16	1	0.00584643178
17	1	0.005400754218
18	1	0.004977761419
19	1	0.004468764074
20	1	0.004157690986
21	1	0.003905577901
22	1	0.003519815093
23	1	0.003326113898
24	1	0.003311653451
25	1	0.003095243542
26	1	0.002977282415
27	1	0.002824260942
28	1	0.002824142659
29	1	0.002724167357
30	1	0.002590912059
31	1	0.002538759136
32	1	0.002391603656
33	1	0.002261983302
34	1	0.00226130742
35	1	0.002260962282
36	1	0.002259953099
37	1	0.002259780584
38	1	0.002258846604
39	1	0.002258841083
40	1	0.002199381994
41	1	0.00216668185
42	1	0.00216666366
43	1	0.002104280754
44	1	0.002104191182
45	1	0.002047163579
46	1	0.001982518731
47	1	0.001966117314
48	1	0.001882984688
49	1	0.001783670705
50	1	0.001783615546
51	1	0.001727255219
52	1	0.001727240641
53	1	0.001711986755
54	1	0.001711887771
55	1	0.001711252019
56	1	0.001662205077
57	1	0.001615806831
58	1	0.001580477467
59	1	0.001580474277
60	1	0.001580338537
61	1	0.001580174617
62	1	0.001571780632
63	1	0.001571748681
64	1	0.001559688375
65	1	0.001556606899
66	1	0.001556521958
67	1	0.001522170515
68	1	0.001521992909
69	1	0.001501999887
70	1	0.001501995709
71	1	0.001501719072
72	1	0.001501718127
73	1	0.001466503529
74	1	0.001454594223
75	1	0.001392475289
76	1	0.001371191101
77	1	0.001371047713
78	1	0.001370890726
79	1	0.001370869422
80	1	0.001370848228
81	1	0.001323046526
82	1	0.001295054688
83	1	0.001285550167
84	1	0.001260498903
85	1	0.001256026797
86	1	0.001255986507
87	1	0.001254306065
88	1	0.001254095485
89	1	0.001254082146
90	1	0.001235320256
91	1	0.001220820406
92	1	0.00118891426
93	1	0.001179058434
94	1	0.001179051636
95	1	0.00117904665
96	1	0.001178950139
97	1	0.001178928594
98	1	0.001178917195
99	1	0.001178911678
