iter	F1	CrossEntropy
0	0.9048991354	0.6569485005
1	0.9230769231	0.6239872578
2	0.9222222222	0.5911083229
3	0.9252077562	0.5562801682
4	0.9264305177	0.5300209943
5	0.9239130435	0.5010791344
6	0.9239130435	0.4742047132
7	0.9239130435	0.4497420415
8	0.9239130435	0.4330891182
9	0.9289617486	0.4143617042
10	0.9285714286	0.392553658
11	0.9315068493	0.3756397783
12	0.9285714286	0.3635191007
13	0.9315068493	0.3446277301
14	0.9315068493	0.3291733563
15	0.9340659341	0.3172696692
16	0.9344262295	0.3072402489
17	0.9340659341	0.2946388068
18	0.9369863014	0.2842786568
19	0.9369863014	0.2732443886
20	0.9424657534	0.2617966583
21	0.9424657534	0.2523032324
22	0.9395604396	0.2445268042
23	0.9395604396	0.2363529321
24	0.9424657534	0.2300472401
25	0.9424657534	0.2236996897
26	0.9424657534	0.2180504483
27	0.9508196721	0.2114391769
28	0.9508196721	0.2049576673
29	0.9482288828	0.1998583691
30	0.9482288828	0.1941617171
31	0.9482288828	0.188995392
32	0.9482288828	0.1848014598
33	0.9482288828	0.1817557118
34	0.9508196721	0.1769486904
35	0.9482288828	0.1715771579
36	0.9482288828	0.1682381192
37	0.9539295393	0.1643044532
38	0.9539295393	0.1611340507
39	0.9565217391	0.1587081707
40	0.9539295393	0.1556270882
41	0.9565217391	0.1524443556
42	0.9591280654	0.1496641602
43	0.9565217391	0.1472535734
44	0.9591280654	0.1446377185
45	0.9591280654	0.1429001915
46	0.9591280654	0.1404575302
47	0.9591280654	0.1381037322
48	0.9591280654	0.1358163391
49	0.9591280654	0.1335902109
50	0.9591280654	0.1309934632
51	0.9591280654	0.1290774648
52	0.9619565217	0.1271101262
53	0.9619565217	0.1258901592
54	0.9619565217	0.1241328364
55	0.9619565217	0.1218681519
56	0.9619565217	0.1205235985
57	0.9619565217	0.1187710278
58	0.9619565217	0.1173647802
59	0.9619565217	0.1165408378
60	0.9619565217	0.1154741131
61	0.9619565217	0.1136227052
62	0.9619565217	0.1114841701
63	0.9647696477	0.1086021657
64	0.9675675676	0.106295289
65	0.9675675676	0.1049873043
66	0.9675675676	0.1036021664
67	0.9675675676	0.1020764473
68	0.9675675676	0.1005546622
69	0.9675675676	0.09882615944
70	0.9675675676	0.09771275629
71	0.9675675676	0.09655983498
72	0.9675675676	0.09550172346
73	0.9675675676	0.09389311242
74	0.9701897019	0.09294718003
75	0.972826087	0.09140244478
76	0.972826087	0.09011282674
77	0.972826087	0.08939928081
78	0.972826087	0.08758677598
79	0.972826087	0.08616539192
80	0.972826087	0.08523873855
81	0.972826087	0.08397961715
82	0.972826087	0.08327354337
83	0.972826087	0.08240381422
84	0.9756097561	0.08135756773
85	0.9810298103	0.08060446256
86	0.9782608696	0.07980599872
87	0.9810298103	0.07905432765
88	0.9810298103	0.07835368075
89	0.9810298103	0.07751951781
90	0.9782608696	0.07655889663
91	0.9782608696	0.07599108453
92	0.9810298103	0.07499541659
93	0.9810298103	0.07378269683
94	0.9837837838	0.07286504804
95	0.9837837838	0.07250371578
96	0.9837837838	0.07144754352
97	0.9837837838	0.07075400883
98	0.9837837838	0.07058843175
99	0.9865229111	0.06943586053
