iter	Passed	Remaining
0	9	4781
1	17	4446
2	23	3904
3	30	3734
4	38	3805
5	45	3731
6	50	3551
7	56	3492
8	63	3446
9	70	3472
10	77	3445
11	85	3482
12	91	3437
13	98	3409
14	104	3387
15	112	3413
16	121	3450
17	129	3454
18	137	3492
19	145	3485
20	151	3466
21	160	3482
22	167	3476
23	174	3451
24	180	3422
25	187	3410
26	193	3395
27	202	3413
28	209	3398
29	214	3360
30	222	3361
31	230	3372
32	237	3357
33	243	3341
34	251	3345
35	260	3357
36	267	3349
37	274	3336
38	279	3308
39	288	3317
40	296	3320
41	304	3318
42	310	3301
43	317	3292
44	324	3283
45	332	3278
46	339	3276
47	345	3254
48	354	3258
49	361	3250
50	368	3242
51	375	3236
52	382	3227
53	390	3221
54	398	3225
55	406	3220
56	412	3206
57	418	3191
58	435	3255
59	442	3247
60	454	3271
61	461	3258
62	467	3245
63	478	3257
64	486	3257
65	493	3247
66	501	3242
67	508	3228
68	515	3220
69	525	3227
70	531	3214
71	538	3199
72	543	3178
73	550	3168
74	558	3164
75	564	3149
76	572	3145
77	579	3136
78	586	3125
79	593	3118
80	601	3111
81	609	3106
82	621	3120
83	627	3109
84	635	3104
85	642	3093
86	652	3096
87	660	3094
88	667	3083
89	675	3078
90	682	3067
91	689	3056
92	697	3053
93	704	3041
94	712	3035
95	719	3028
96	727	3021
97	735	3018
98	742	3006
99	750	3000
100	757	2991
101	764	2983
102	772	2978
103	780	2970
104	788	2964
105	793	2949
106	799	2934
107	806	2927
108	812	2912
109	819	2903
110	826	2896
111	835	2896
112	843	2890
113	850	2881
114	856	2867
115	862	2854
116	868	2842
117	874	2830
118	883	2829
119	891	2821
120	896	2808
121	903	2798
122	910	2791
123	919	2788
124	926	2779
125	934	2773
126	942	2768
127	951	2765
128	962	2768
129	968	2757
130	976	2750
131	982	2738
132	989	2729
133	996	2720
134	1002	2710
135	1009	2702
136	1016	2692
137	1023	2685
138	1032	2681
139	1041	2677
140	1048	2669
141	1058	2668
142	1065	2659
143	1073	2653
144	1080	2645
145	1087	2635
146	1095	2630
147	1102	2622
148	1108	2610
149	1114	2601
150	1121	2592
151	1128	2583
152	1139	2584
153	1146	2576
154	1156	2573
155	1164	2568
156	1172	2561
157	1180	2554
158	1188	2548
159	1195	2539
160	1202	2532
161	1212	2528
162	1219	2520
163	1226	2512
164	1232	2502
165	1240	2496
166	1249	2491
167	1256	2483
168	1263	2474
169	1268	2461
170	1276	2455
171	1282	2445
172	1290	2439
173	1299	2434
174	1306	2425
175	1312	2415
176	1320	2409
177	1326	2400
178	1335	2394
179	1341	2385
180	1357	2392
181	1366	2387
182	1373	2379
183	1379	2369
184	1390	2368
185	1401	2366
186	1407	2356
187	1418	2354
188	1429	2351
189	1440	2350
190	1451	2348
191	1460	2342
192	1472	2342
193	1480	2334
194	1492	2334
195	1501	2328
196	1509	2322
197	1518	2316
198	1532	2317
199	1539	2309
200	1549	2305
201	1558	2299
202	1567	2293
203	1576	2287
204	1587	2284
205	1594	2276
206	1603	2270
207	1609	2259
208	1618	2254
209	1625	2245
210	1631	2235
211	1638	2225
212	1648	2220
213	1653	2210
214	1659	2199
215	1666	2190
216	1672	2181
217	1680	2174
218	1687	2164
219	1694	2157
220	1702	2149
221	1708	2139
222	1715	2130
223	1723	2123
224	1729	2114
225	1738	2108
226	1746	2100
227	1752	2091
228	1760	2083
229	1766	2073
230	1774	2065
231	1783	2060
232	1790	2052
233	1799	2045
234	1806	2037
235	1811	2026
236	1820	2020
237	1826	2010
238	1833	2001
239	1839	1993
240	1846	1984
241	1854	1977
242	1860	1968
243	1867	1959
244	1873	1949
245	1881	1942
246	1887	1933
247	1894	1925
248	1902	1917
249	1909	1909
250	1920	1905
251	1928	1898
252	1936	1890
253	1944	1882
254	1952	1876
255	1959	1867
256	1966	1859
257	1974	1852
258	1982	1844
259	1989	1836
260	1995	1827
261	2004	1820
262	2011	1812
263	2019	1805
264	2028	1798
265	2034	1789
266	2040	1781
267	2046	1771
268	2054	1764
269	2065	1759
270	2073	1752
271	2082	1745
272	2090	1738
273	2097	1730
274	2105	1723
275	2113	1715
276	2121	1708
277	2128	1700
278	2137	1693
279	2146	1686
280	2156	1680
281	2168	1676
282	2179	1671
283	2189	1665
284	2197	1658
285	2203	1648
286	2214	1643
287	2228	1640
288	2238	1634
289	2249	1628
290	2257	1621
291	2266	1614
292	2272	1605
293	2281	1598
294	2298	1597
295	2305	1589
296	2315	1582
297	2326	1576
298	2336	1570
299	2346	1564
300	2354	1556
301	2362	1549
302	2376	1545
303	2384	1537
304	2393	1530
