iter	F1	CrossEntropy
0	0.9245283019	0.6492165067
1	0.9238095238	0.6051463555
2	0.9292929293	0.5643208564
3	0.94	0.5277827985
4	0.9405940594	0.4968021753
5	0.9504950495	0.4672235138
6	0.9405940594	0.4455864243
7	0.9405940594	0.4185640317
8	0.9405940594	0.3918995971
9	0.9405940594	0.3699767369
10	0.9405940594	0.3511178879
11	0.9458128079	0.3298331224
12	0.9458128079	0.3120727316
13	0.9458128079	0.2971486096
14	0.9458128079	0.2808330189
15	0.9458128079	0.2681328428
16	0.9452736318	0.2592184764
17	0.9452736318	0.24778885
18	0.9452736318	0.23815238
19	0.9452736318	0.2298378384
20	0.9452736318	0.2229287464
21	0.9452736318	0.2146305957
22	0.9452736318	0.2076942047
23	0.9452736318	0.2020284258
24	0.9452736318	0.197512812
25	0.9452736318	0.1908826735
26	0.94	0.1839199401
27	0.9452736318	0.1787621055
28	0.94	0.1744550286
29	0.94	0.1693211647
30	0.94	0.1651227299
31	0.94	0.1604980683
32	0.94	0.1558456366
33	0.9452736318	0.1504684829
34	0.9452736318	0.1476357342
35	0.9452736318	0.1443770701
36	0.9452736318	0.1419889925
37	0.9504950495	0.1382069352
38	0.9504950495	0.1356974122
39	0.9504950495	0.1332428748
40	0.9504950495	0.1306478212
41	0.9504950495	0.1278082455
42	0.9504950495	0.1248544971
43	0.9504950495	0.121848242
44	0.9504950495	0.1200156326
45	0.9504950495	0.1177011529
46	0.9504950495	0.1155308965
47	0.9504950495	0.1137286602
48	0.9556650246	0.111370795
49	0.9556650246	0.1094715651
50	0.9556650246	0.1076120778
51	0.9556650246	0.107210382
52	0.9556650246	0.1057385848
53	0.9556650246	0.1044091125
54	0.9556650246	0.1028640857
55	0.9556650246	0.1011574882
56	0.9556650246	0.09982140066
57	0.9556650246	0.09792165864
58	0.9556650246	0.09789669753
59	0.9556650246	0.09647095674
60	0.9556650246	0.09630883747
61	0.9603960396	0.09484794945
62	0.9603960396	0.09364482912
63	0.9603960396	0.09223601707
64	0.9603960396	0.09206438724
65	0.9603960396	0.09206105348
66	0.9603960396	0.0909711528
67	0.9603960396	0.09045275469
68	0.9603960396	0.08925855323
69	0.9603960396	0.08796886718
70	0.9603960396	0.0867174094
71	0.9603960396	0.08623979538
72	0.9603960396	0.08507635867
73	0.9603960396	0.08379662233
74	0.9603960396	0.08372056638
75	0.9603960396	0.08372047802
76	0.9603960396	0.08277466495
77	0.9655172414	0.08128634336
78	0.9655172414	0.08125198823
79	0.9655172414	0.07984216093
80	0.9655172414	0.07920217512
81	0.9655172414	0.07828539578
82	0.9655172414	0.07747188263
83	0.9655172414	0.07742481915
84	0.9702970297	0.07622448319
85	0.9702970297	0.07621734896
86	0.9702970297	0.07528904697
87	0.9655172414	0.07470898353
88	0.9702970297	0.07350560212
89	0.9702970297	0.0735049591
90	0.9702970297	0.07240871373
91	0.9702970297	0.07194442167
92	0.9702970297	0.0711794466
93	0.9702970297	0.07054799382
94	0.9702970297	0.07008372684
95	0.9702970297	0.06998621143
96	0.9702970297	0.06922991357
97	0.9702970297	0.06869081162
98	0.9702970297	0.06800774225
99	0.9702970297	0.06775775479
