iter	Passed	Remaining
0	5	2806
1	13	3386
2	20	3475
3	27	3359
4	32	3263
5	39	3283
6	46	3306
7	53	3271
8	60	3298
9	66	3263
10	74	3307
11	81	3314
12	94	3524
13	100	3500
14	109	3537
15	118	3590
16	125	3576
17	133	3571
18	139	3528
19	146	3515
20	156	3561
21	162	3532
22	170	3533
23	177	3514
24	183	3492
25	190	3479
26	199	3491
27	205	3463
28	212	3449
29	218	3428
30	226	3428
31	231	3391
32	241	3413
33	248	3407
34	257	3425
35	265	3423
36	273	3420
37	278	3387
38	286	3383
39	293	3377
40	300	3358
41	309	3378
42	316	3365
43	323	3354
44	330	3338
45	337	3335
46	346	3336
47	353	3328
48	360	3313
49	366	3294
50	374	3292
51	382	3294
52	389	3283
53	396	3271
54	404	3274
55	411	3258
56	418	3253
57	426	3247
58	436	3259
59	443	3255
60	453	3266
61	459	3248
62	470	3264
63	476	3248
64	484	3243
65	490	3227
66	498	3223
67	506	3219
68	514	3216
69	521	3205
70	528	3190
71	536	3186
72	544	3183
73	554	3189
74	562	3186
75	568	3172
76	575	3160
77	583	3156
78	632	3368
79	643	3378
80	651	3371
81	663	3384
82	671	3374
83	681	3376
84	693	3385
85	705	3395
86	714	3389
87	722	3383
88	732	3384
89	743	3385
90	755	3396
91	766	3398
92	775	3392
93	784	3386
94	795	3389
95	806	3395
96	815	3389
97	825	3387
98	832	3370
99	839	3357
100	844	3337
101	853	3328
102	860	3315
103	868	3307
104	876	3298
105	885	3291
106	895	3289
107	903	3280
108	912	3272
109	923	3274
110	930	3261
111	939	3253
112	947	3244
113	957	3242
114	967	3238
115	977	3236
116	987	3233
117	998	3233
118	1008	3230
119	1017	3223
120	1026	3214
121	1033	3201
122	1044	3202
123	1053	3195
124	1061	3184
125	1071	3179
126	1079	3171
127	1088	3163
128	1097	3157
129	1108	3153
130	1114	3138
131	1124	3134
132	1134	3129
133	1144	3125
134	1152	3117
135	1164	3117
136	1176	3117
137	1184	3107
138	1192	3096
139	1201	3090
140	1212	3086
141	1220	3077
142	1230	3072
143	1241	3068
144	1246	3051
145	1256	3046
146	1266	3041
147	1273	3027
148	1283	3024
149	1293	3018
150	1300	3006
151	1309	2996
152	1320	2995
153	1330	2989
154	1339	2982
155	1352	2981
156	1363	2979
157	1373	2972
158	1384	2968
159	1391	2957
160	1400	2948
161	1407	2935
162	1415	2927
163	1423	2916
164	1429	2903
165	1436	2889
166	1445	2881
167	1451	2868
168	1456	2853
169	1463	2840
170	1469	2827
171	1476	2815
172	1482	2802
173	1490	2791
174	1496	2779
175	1504	2769
176	1511	2759
177	1520	2751
178	1527	2739
179	1535	2729
180	1546	2725
181	1557	2720
182	1562	2707
183	1571	2699
184	1795	3056
185	1800	3039
186	1810	3029
187	1821	3022
188	1827	3007
189	1838	2999
190	1848	2991
191	1856	2978
192	1865	2966
193	1871	2952
194	1878	2937
195	1885	2925
196	1891	2909
197	1898	2895
198	1903	2878
199	1909	2864
200	1917	2852
201	1923	2838
202	1931	2825
203	1939	2814
204	1949	2805
205	1959	2796
206	1967	2784
207	1972	2769
208	1982	2759
209	1991	2750
210	2002	2742
211	2015	2737
212	2022	2725
213	2032	2716
214	2042	2707
215	2050	2695
216	2058	2684
217	2066	2672
218	2073	2660
219	2079	2646
220	2089	2637
221	2095	2624
222	2106	2616
223	2115	2606
224	2126	2598
225	2135	2588
226	2142	2577
227	2150	2565
228	2158	2554
229	2166	2543
230	2172	2530
231	2181	2519
232	2187	2507
233	2195	2496
234	2202	2483
235	2209	2471
236	2215	2458
237	2224	2448
238	2231	2436
239	2237	2424
240	2249	2417
241	2257	2406
242	2264	2394
243	2270	2382
244	2277	2370
245	2283	2357
246	2289	2345
247	2298	2336
248	2308	2327
249	2314	2314
250	2321	2302
251	2329	2292
252	2336	2281
253	2342	2269
254	2347	2255
255	2356	2245
256	2363	2234
257	2371	2224
258	2379	2213
259	2387	2204
260	2400	2198
261	2408	2187
262	2415	2176
263	2423	2166
264	2430	2155
265	2438	2145
266	2446	2134
267	2453	2124
268	2461	2113
269	2466	2100
270	2473	2090
271	2479	2078
272	2485	2066
273	2493	2056
274	2502	2047
275	2507	2035
276	2517	2026
277	2523	2015
278	2529	2003
279	2536	1992
280	2545	1984
281	2553	1974
282	2559	1962
283	2567	1952
284	2573	1941
285	2580	1930
286	2588	1920
287	2595	1910
288	2601	1899
289	2611	1891
290	2619	1881
291	2627	1871
292	2634	1861
293	2639	1849
294	2646	1839
295	2654	1829
296	2661	1819
297	2668	1808
298	2676	1799
299	2683	1789
300	2690	1778
301	2697	1768
302	2705	1759
303	2727	1758
304	2771	1771
305	2781	1763
306	2791	1755
307	2800	1745
308	2817	1741
309	2828	1733
310	2836	1724
311	2845	1714
312	2851	1703
313	2858	1693
314	2865	1682
315	2872	1672
316	2878	1661
317	2883	1650
318	2887	1638
319	2894	1628
320	2901	1618
321	2908	1607
322	2916	1598
323	2926	1589
324	2933	1579
325	2940	1569
326	2948	1559
327	2955	1549
328	2963	1540
329	2970	1530
330	2976	1519
331	2984	1510
332	2991	1500
333	2995	1488
334	3001	1478
335	3011	1470
336	3018	1459
337	3022	1448
338	3029	1438
339	3036	1428
340	3042	1418
341	3048	1408
342	3061	1401
343	3068	1391
344	3073	1380
345	3080	1371
346	3087	1361
347	3095	1352
348	3102	1342
349	3109	1332
350	3118	1323
351	3127	1314
352	3134	1305
353	3141	1295
354	3147	1285
355	3158	1277
356	3166	1268
357	3173	1258
358	3177	1248
359	3185	1238
360	3188	1227
361	3196	1218
362	3203	1209
363	3210	1199
364	3216	1189
365	3227	1181
366	3234	1172
367	3241	1162
368	3248	1153
369	3252	1142
370	3256	1132
371	3265	1123
372	3270	1113
373	3274	1103
374	3279	1093
375	3284	1083
376	3288	1073
377	3294	1063
378	3298	1053
379	3304	1043
380	3309	1033
381	3314	1023
382	3322	1014
383	3327	1005
384	3332	995
385	3336	985
386	3341	975
387	3345	965
388	3349	955
389	3355	946
390	3360	936
391	3364	926
392	3369	917
393	3373	907
394	3378	898
395	3387	889
396	3394	880
397	3398	870
398	3403	861
399	3408	852
400	3412	842
401	3416	832
402	3423	824
403	3428	814
404	3434	805
405	3438	796
406	3442	786
407	3447	777
408	3452	768
409	3457	758
410	3462	749
411	3468	740
412	3472	731
413	3478	722
414	3484	713
415	3488	704
416	3492	695
417	3496	685
418	3500	676
419	3506	667
420	3510	658
421	3516	649
422	3520	640
423	3525	631
424	3529	622
425	3536	614
426	3541	605
427	3546	596
428	3550	587
429	3555	578
430	3561	570
431	3567	561
432	3572	552
433	3578	544
434	3582	535
435	3586	526
436	3592	517
437	3598	509
438	3604	500
439	3608	492
440	3614	483
441	3620	475
442	3626	466
443	3632	458
444	3636	449
445	3644	441
446	3650	432
447	3655	424
448	3660	415
449	3664	407
450	3671	398
451	3709	393
452	3734	387
453	3740	378
454	3746	370
455	3764	363
456	3768	354
457	3774	346
458	3782	337
459	3785	329
460	3790	320
461	3796	312
462	3801	303
463	3808	295
464	3811	286
465	3817	278
466	3825	270
467	3831	261
468	3835	253
469	3840	245
470	3845	236
471	3849	228
472	3856	220
473	3860	211
474	3865	203
475	3870	195
476	3876	186
477	3884	178
478	3892	170
479	3900	162
480	3907	154
481	3913	146
482	3918	137
483	3924	129
484	3929	121
485	3935	113
486	3939	105
487	3946	97
488	3950	88
489	3955	80
490	3959	72
491	3963	64
492	3969	56
493	3975	48
494	3979	40
495	3983	32
496	3986	24
497	3992	16
