iter	Passed	Remaining
0	8	4285
1	16	4141
2	24	3981
3	30	3788
4	38	3805
5	47	3945
6	57	4051
7	62	3862
8	67	3708
9	76	3732
10	82	3648
11	89	3620
12	97	3638
13	104	3641
14	110	3572
15	119	3601
16	127	3609
17	133	3581
18	140	3556
19	147	3536
20	153	3503
21	160	3480
22	167	3477
23	177	3515
24	187	3562
25	195	3561
26	203	3560
27	208	3516
28	215	3491
29	222	3492
30	234	3546
31	246	3604
32	252	3579
33	259	3550
34	269	3574
35	277	3581
36	285	3570
37	297	3616
38	303	3585
39	312	3593
40	322	3611
41	330	3601
42	341	3628
43	347	3601
44	356	3605
45	365	3611
46	373	3603
47	383	3612
48	396	3644
49	403	3634
50	413	3639
51	425	3664
52	435	3675
53	444	3674
54	455	3689
55	461	3660
56	469	3646
57	478	3647
58	485	3629
59	496	3643
60	510	3673
61	552	3904
62	559	3879
63	568	3875
64	576	3858
65	584	3840
66	593	3834
67	599	3808
68	605	3784
69	613	3765
70	620	3748
71	629	3742
72	635	3715
73	642	3697
74	648	3677
75	656	3663
76	664	3648
77	673	3642
78	680	3624
79	688	3616
80	697	3606
81	703	3587
82	710	3569
83	718	3557
84	724	3538
85	736	3546
86	745	3538
87	752	3520
88	758	3504
89	766	3492
90	774	3481
91	781	3463
92	787	3448
93	793	3428
94	800	3414
95	806	3393
96	815	3388
97	824	3381
98	831	3369
99	840	3360
100	847	3346
101	854	3334
102	863	3327
103	869	3312
104	875	3293
105	882	3279
106	892	3277
107	902	3277
108	908	3260
109	917	3253
110	924	3239
111	930	3223
112	937	3209
113	943	3196
114	950	3182
115	957	3168
116	962	3151
117	968	3135
118	974	3118
119	980	3105
120	986	3088
121	992	3075
122	999	3063
123	1012	3068
124	1018	3056
125	1025	3044
126	1034	3037
127	1040	3023
128	1047	3012
129	1055	3003
130	1061	2990
131	1068	2977
132	1074	2965
133	1082	2956
134	1089	2945
135	1098	2939
136	1106	2931
137	1115	2926
138	1123	2917
139	1132	2912
140	1142	2909
141	1153	2908
142	1163	2903
143	1171	2897
144	1181	2892
145	1193	2893
146	1209	2904
147	1228	2920
148	1243	2928
149	1255	2929
150	1266	2926
151	1278	2927
152	1289	2924
153	1294	2909
154	1300	2895
155	1312	2894
156	1321	2887
157	1336	2893
158	1345	2885
159	1358	2886
160	1367	2879
161	1376	2871
162	1386	2865
163	1395	2859
164	1405	2852
165	1412	2842
166	1418	2828
167	1427	2820
168	1436	2813
169	1444	2804
170	1455	2799
171	1462	2788
172	1467	2773
173	1479	2771
174	1523	2829
175	1531	2818
176	1539	2809
177	1548	2801
178	1559	2796
179	1565	2783
180	1573	2773
181	1582	2764
182	1592	2758
183	1599	2747
184	1609	2741
185	1619	2733
186	1629	2727
187	1639	2720
188	1651	2718
189	1662	2712
190	1671	2704
191	1683	2701
192	1695	2696
193	1702	2685
194	1714	2681
195	1721	2670
196	1729	2660
197	1739	2652
198	1746	2640
199	1752	2628
200	1759	2616
201	1767	2606
202	1772	2593
203	1779	2581
204	1785	2569
205	1794	2560
206	1805	2555
207	1812	2544
208	1818	2532
209	1826	2522
210	1831	2509
211	1841	2501
212	1848	2490
213	1855	2479
214	1861	2466
215	1868	2457
216	1875	2445
217	1884	2437
218	1891	2426
219	1899	2417
220	1907	2407
221	1913	2396
222	1921	2387
223	1927	2375
224	1934	2364
225	1942	2355
226	1949	2344
227	1957	2335
228	1965	2325
229	1971	2314
230	1979	2304
231	1987	2295
232	1994	2285
233	2003	2277
234	2010	2266
235	2017	2256
236	2024	2246
237	2030	2235
238	2037	2224
239	2047	2218
240	2053	2206
241	2061	2197
242	2068	2187
243	2073	2175
244	2079	2164
245	2084	2151
246	2089	2140
247	2095	2129
248	2102	2119
249	2109	2109
250	2115	2098
251	2122	2088
252	2129	2078
253	2136	2069
254	2144	2060
255	2152	2051
256	2160	2042
257	2167	2033
258	2173	2022
259	2179	2011
260	2186	2001
261	2192	1991
262	2199	1982
263	2209	1974
264	2217	1966
265	2225	1957
266	2231	1947
267	2239	1938
268	2247	1930
269	2253	1919
270	2263	1913
271	2270	1903
272	2276	1893
273	2283	1883
274	2291	1874
275	2299	1865
276	2307	1857
277	2315	1849
278	2321	1838
279	2327	1828
280	2333	1818
281	2340	1808
282	2346	1799
283	2354	1790
284	2361	1781
285	2367	1771
286	2377	1764
287	2384	1755
288	2392	1746
289	2399	1737
290	2406	1728
291	2411	1717
292	2418	1708
293	2426	1700
294	2435	1692
295	2446	1685
296	2501	1709
297	2513	1704
298	2526	1698
299	2534	1689
300	2543	1681
301	2553	1674
302	2569	1670
303	2578	1662
304	2588	1655
305	2597	1646
306	2606	1638
307	2616	1631
308	2626	1623
309	2638	1617
310	2648	1609
311	2660	1603
312	2666	1593
313	2677	1585
314	2688	1578
315	2698	1571
316	2708	1563
317	2716	1554
318	2723	1545
319	2732	1536
320	2741	1528
321	2748	1519
322	2759	1512
323	2770	1504
324	2779	1496
325	2786	1487
326	2794	1478
327	2801	1468
328	2809	1460
329	2815	1450
330	2824	1442
331	2829	1431
332	2836	1422
333	2842	1412
334	2848	1403
335	2853	1392
336	2860	1383
337	2868	1374
338	2875	1365
339	2883	1356
340	2889	1347
341	2895	1337
342	2902	1328
343	2911	1320
344	2917	1310
345	2921	1300
346	2927	1290
347	2933	1281
348	2936	1270
349	2943	1261
350	2947	1251
351	2951	1240
352	2957	1231
353	2961	1221
354	2966	1211
355	2971	1201
356	2975	1191
357	2979	1181
358	2983	1171
359	2990	1163
360	2994	1153
361	3000	1143
362	3005	1134
363	3012	1125
364	3016	1115
365	3019	1105
366	3028	1097
367	3034	1088
368	3041	1079
369	3045	1069
370	3049	1060
371	3054	1051
372	3061	1042
373	3067	1033
374	3073	1024
375	3077	1014
376	3085	1006
377	3089	997
378	3093	987
379	3097	978
380	3101	968
381	3105	959
382	3108	949
383	3112	940
384	3116	930
385	3119	921
386	3126	912
387	3134	904
388	3140	896
389	3145	887
390	3152	878
391	3159	870
392	3163	861
393	3168	852
394	3173	843
395	3177	834
396	3181	825
397	3185	816
398	3189	807
399	3193	798
400	3198	789
401	3201	780
402	3206	771
403	3210	762
404	3214	754
405	3218	745
406	3222	736
407	3227	727
408	3230	718
409	3235	710
410	3239	701
411	3244	692
412	3249	684
413	3252	675
414	3256	666
415	3261	658
416	3268	650
417	3272	641
418	3277	633
419	3282	625
420	3287	616
421	3290	608
422	3296	600
423	3300	591
424	3304	583
425	3308	574
426	3312	566
427	3316	557
428	3321	549
429	3324	541
430	3328	532
431	3332	524
432	3336	516
433	3341	508
434	3345	499
435	3350	491
436	3354	483
437	3358	475
438	3361	467
439	3365	458
440	3369	450
441	3376	443
442	3379	434
443	3385	426
444	3389	418
445	3394	410
446	3398	402
447	3401	394
448	3426	389
449	3455	383
450	3458	375
451	3464	367
452	3470	360
453	3475	352
454	3482	344
455	3491	336
456	3499	329
457	3502	321
458	3509	313
459	3512	305
460	3517	297
461	3525	289
462	3535	282
463	3545	275
464	3552	267
465	3559	259
466	3570	252
467	3574	244
468	3579	236
469	3588	229
470	3592	221
471	3598	213
472	3602	205
473	3610	198
474	3616	190
475	3622	182
476	3625	174
477	3633	167
478	3639	159
479	3644	151
480	3651	144
481	3655	136
482	3661	128
483	3668	121
484	3672	113
485	3678	105
486	3686	98
487	3692	90
488	3699	83
489	3702	75
490	3706	67
491	3710	60
492	3715	52
493	3719	45
494	3725	37
495	3730	30
496	3735	22
497	3740	15
498	3748	7
499	3751	0
