iter	F1	CrossEntropy
0	0.9843400447	0.6266194061
1	0.9844097996	0.5652627152
2	0.9866518354	0.5055831775
3	0.9843924192	0.4687365666
4	0.9883398112	0.4261991678
5	0.9877641824	0.388355306
6	0.9877505568	0.3515209879
7	0.9883008357	0.3158037741
8	0.9894268225	0.2870386924
9	0.9888641425	0.2584832293
10	0.9894150418	0.2338557987
11	0.9911111111	0.215472288
12	0.9911209767	0.2007483509
13	0.9916897507	0.1857735329
14	0.9916805324	0.1727511117
15	0.9922308546	0.1590535715
16	0.9927897948	0.1473445121
17	0.9927897948	0.1361057345
18	0.9927897948	0.1251500682
19	0.9927897948	0.1155528729
20	0.9927897948	0.1077917304
21	0.9927897948	0.1003916438
22	0.9922308546	0.09424215686
23	0.9927897948	0.08830003289
24	0.9927897948	0.08291163872
25	0.9933407325	0.07811078404
26	0.9938922821	0.07376886333
27	0.9950083195	0.06964297733
28	0.9950083195	0.06598432587
29	0.9961132704	0.06245018736
30	0.9955604883	0.05947305289
31	0.9961132704	0.05693025776
32	0.9955604883	0.05409984233
33	0.9961132704	0.0519577418
34	0.9961132704	0.04947553041
35	0.9966666667	0.04781129678
36	0.9972237646	0.04591168228
37	0.9972237646	0.0439824808
38	0.9972237646	0.0425105998
39	0.9972237646	0.04105614328
40	0.9972237646	0.03971755587
41	0.9972237646	0.03817255671
42	0.9972237646	0.03671787117
43	0.9972237646	0.03545250483
44	0.9972237646	0.03407654657
45	0.9972237646	0.0330694638
46	0.9972237646	0.03201213351
47	0.9972237646	0.03099262639
48	0.9972237646	0.02994339904
49	0.9972237646	0.02909202938
50	0.9972237646	0.02813745083
51	0.9972237646	0.02745320655
52	0.9972237646	0.02697970287
53	0.9972237646	0.02635755928
54	0.9972237646	0.02558872152
55	0.9972237646	0.02493160717
56	0.9972237646	0.02441626322
57	0.9977777778	0.02372596749
58	0.9977777778	0.02322217278
59	0.9977777778	0.02279910126
60	0.9977777778	0.02238704539
61	0.9977777778	0.02189903615
62	0.9977777778	0.0213201315
63	0.9977777778	0.02092673861
64	0.9977777778	0.02041071588
65	0.9977777778	0.02012471833
66	0.9977777778	0.0196968264
67	0.9977777778	0.01928268395
68	0.9977777778	0.01897536812
69	0.9977777778	0.01869640744
70	0.9977777778	0.0183040655
71	0.9977777778	0.01797881979
72	0.9983324069	0.01753591758
73	0.9983324069	0.01731463436
74	0.9983324069	0.01696244596
75	0.9983324069	0.01668148923
76	0.9983324069	0.01629591259
77	0.9983324069	0.01596219492
78	0.9983324069	0.01566986754
79	0.9983324069	0.01546503545
80	0.9983324069	0.01520170094
81	0.9988888889	0.0149326948
82	0.9983324069	0.01467249966
83	0.9988888889	0.01442443496
