iter	Passed	Remaining
401	16460	106379
402	16502	106342
403	16541	106294
404	16582	106248
405	16623	106209
406	16663	106162
407	16703	106116
408	16744	106073
409	16784	106026
410	16825	105988
411	16867	105954
412	16908	105913
413	16948	105867
414	16990	105829
415	17029	105781
416	17071	105747
417	17111	105699
418	17156	105683
419	17197	105643
420	17239	105606
421	17280	105564
422	17320	105522
423	17360	105476
424	17401	105433
425	17444	105401
426	17484	105359
427	17525	105318
428	17567	105280
429	17608	105239
430	17649	105198
431	17689	105157
432	17731	105121
433	17772	105078
434	17812	105033
435	17852	104985
436	17892	104938
437	17933	104897
438	17974	104855
439	18014	104812
440	18055	104768
441	18095	104723
442	18134	104674
443	18175	104632
444	18216	104589
445	18255	104536
446	18295	104495
447	18336	104452
448	18376	104404
449	18415	104354
450	18456	104311
451	18500	104289
452	18540	104246
453	18580	104195
454	18620	104153
455	18660	104107
456	18701	104066
457	18740	104015
458	18782	103980
459	18823	103936
460	18863	103894
461	18902	103842
462	18943	103803
463	18983	103754
464	19022	103704
465	19062	103655
466	19101	103606
467	19141	103559
468	19181	103513
469	19220	103464
470	19260	103419
471	19301	103376
472	19340	103326
473	19381	103285
474	19422	103243
475	19461	103193
476	19501	103148
477	19541	103101
478	19581	103058
479	19621	103015
480	19662	102972
481	19702	102927
482	19743	102885
483	19783	102839
484	19823	102797
485	19864	102756
486	19905	102714
487	19945	102670
488	19985	102623
489	20026	102583
490	20065	102534
491	20105	102489
492	20146	102446
493	20186	102401
494	20226	102358
495	20267	102318
496	20307	102270
497	20346	102224
498	20387	102181
499	20427	102139
500	20468	102095
501	20507	102049
502	20548	102005
503	20588	101961
504	20630	101924
505	20672	101890
506	20714	101854
507	20753	101807
508	20794	101764
509	20834	101722
510	20875	101679
511	20915	101637
512	20956	101597
513	20996	101550
514	21037	101509
515	21079	101474
516	21119	101429
517	21160	101390
518	21201	101351
519	21241	101304
520	21281	101261
521	21322	101218
522	21361	101171
523	21401	101125
524	21440	101078
525	21481	101035
526	21521	100993
527	21561	100947
528	21602	100907
529	21642	100860
530	21681	100814
531	21721	100769
532	21760	100721
533	21800	100674
534	21839	100626
535	21881	100587
536	21920	100541
537	21961	100500
538	22002	100460
539	22042	100418
540	22082	100370
541	22123	100331
542	22162	100284
543	22203	100240
544	22243	100195
545	22283	100154
546	22323	100108
547	22362	100062
548	22403	100021
549	22443	99974
550	22482	99928
551	22523	99886
552	22562	99840
553	22602	99795
554	22643	99753
555	22683	99711
556	22724	99670
557	22764	99623
558	22804	99580
559	22845	99540
560	22885	99495
561	22925	99450
562	22965	99408
563	23006	99369
564	23047	99326
565	23086	99279
566	23126	99236
567	23167	99195
568	23208	99154
569	23247	99108
570	23287	99065
571	23327	99021
572	23367	98977
573	23408	98934
574	23448	98891
575	23488	98848
576	23529	98808
577	23570	98766
578	23609	98721
579	23650	98678
580	23689	98630
581	23730	98589
582	23770	98546
583	23811	98507
584	23851	98464
585	23891	98421
586	23931	98376
587	23971	98333
588	24012	98292
589	24053	98252
590	24092	98205
591	24132	98159
592	24171	98113
593	24211	98067
594	24251	98025
595	24290	97978
596	24330	97932
597	24369	97886
598	24409	97840
599	24450	97800
600	24490	97758
601	24530	97713
602	24569	97668
603	24610	97627
604	24651	97585
605	24690	97540
606	24731	97501
607	24771	97454
608	24810	97408
609	24851	97369
610	24891	97325
611	24931	97282
612	24972	97241
613	25012	97198
614	25053	97157
615	25093	97113
616	25133	97072
617	25173	97029
618	25223	97024
619	25263	96978
620	25302	96933
621	25344	96894
622	25384	96850
623	25423	96804
624	25464	96766
625	25507	96732
626	25548	96693
627	25590	96658
628	25633	96623
629	25675	96588
630	25717	96551
631	25759	96517
632	25803	96486
633	25846	96454
634	25889	96421
635	25931	96385
636	25975	96357
637	26017	96320
638	26060	96288
639	26103	96254
640	26145	96219
641	26186	96178
642	26226	96137
643	26267	96097
644	26308	96055
645	26349	96018
646	26391	95980
647	26431	95937
648	26472	95898
649	26516	95866
650	26558	95832
651	26599	95790
652	26641	95753
653	26681	95710
654	26722	95671
655	26762	95627
656	26802	95584
657	26844	95545
658	26883	95500
659	26925	95462
660	26966	95422
661	27010	95394
662	27051	95352
663	27092	95311
664	27132	95269
665	27172	95226
666	27213	95185
667	27254	95146
668	27295	95107
669	27337	95068
670	27378	95027
671	27417	94983
672	27458	94941
673	27498	94898
674	27542	94868
675	27583	94829
676	27624	94788
677	27664	94745
678	27703	94699
679	27743	94654
680	27783	94610
681	27822	94564
682	27863	94522
683	27902	94477
684	27942	94433
685	27983	94392
686	28023	94350
687	28062	94304
688	28102	94259
689	28141	94213
690	28182	94172
691	28221	94126
692	28261	94083
693	28302	94042
694	28341	93996
695	28381	93952
696	28420	93907
697	28460	93862
698	28500	93817
699	28541	93777
700	28581	93735
701	28621	93691
702	28660	93647
703	28700	93602
704	28739	93557
705	28779	93512
706	28819	93469
707	28858	93423
708	28898	93380
709	28938	93335
710	28977	93289
711	29016	93243
712	29056	93202
713	29097	93160
714	29140	93127
715	29180	93082
716	29219	93037
717	29260	92997
718	29300	92955
719	29341	92914
720	29380	92868
721	29419	92823
722	29459	92778
723	29500	92739
724	29541	92697
725	29581	92656
726	29622	92615
727	29663	92574
728	29703	92532
729	29743	92489
730	29783	92447
731	29823	92402
732	29863	92360
733	29903	92317
734	29944	92277
735	29984	92233
736	30027	92201
737	30068	92162
738	30109	92121
739	30150	92081
740	30190	92038
741	30230	91996
742	30270	91952
743	30311	91912
744	30352	91870
745	30392	91829
746	30433	91789
747	30473	91746
748	30514	91707
749	30554	91664
750	30596	91627
751	30637	91586
752	30677	91544
753	30717	91501
754	30758	91461
755	30798	91419
756	30839	91378
757	30881	91339
758	30922	91300
759	30962	91257
760	31004	91220
761	31044	91177
762	31086	91139
763	31126	91096
764	31166	91056
765	31212	91028
766	31253	90990
767	31295	90951
768	31335	90909
769	31374	90864
770	31415	90822
771	31456	90783
772	31495	90738
773	31536	90698
774	31575	90653
775	31615	90608
776	31654	90562
777	31695	90523
778	31735	90480
779	31776	90439
780	31815	90394
781	31856	90356
782	31896	90311
783	31937	90270
784	31977	90230
785	32019	90191
786	32061	90155
787	32101	90112
788	32141	90069
789	32181	90026
790	32220	89981
791	32261	89940
792	32300	89896
793	32341	89854
794	32382	89815
795	32423	89775
796	32462	89730
797	32503	89690
798	32544	89649
799	32583	89605
800	32625	89566
801	32665	89523
802	32706	89484
803	32746	89440
804	32786	89398
805	32826	89356
806	32865	89311
807	32907	89272
808	32946	89228
809	32986	89184
810	33026	89142
811	33065	89098
812	33106	89058
813	33146	89014
814	33185	88970
815	33225	88926
816	33265	88885
817	33306	88843
818	33347	88803
819	33387	88762
820	33428	88722
821	33468	88679
822	33510	88641
823	33551	88603
824	33592	88561
825	33632	88520
826	33674	88481
827	33717	88448
828	33759	88409
829	33800	88369
830	33840	88327
831	33881	88286
832	33921	88245
833	33962	88203
834	34003	88164
835	34043	88122
836	34084	88083
837	34126	88045
838	34167	88004
839	34207	87962
840	34246	87917
841	34287	87877
842	34327	87833
843	34366	87789
844	34406	87746
845	34446	87704
846	34486	87662
847	34527	87622
848	34568	87581
849	34607	87537
850	34647	87493
851	34687	87451
852	34728	87410
853	34769	87371
854	34808	87327
855	34849	87285
856	34889	87243
857	34928	87199
858	34969	87158
859	35011	87120
860	35052	87080
861	35092	87039
862	35132	86995
863	35172	86953
864	35211	86909
865	35251	86865
866	35291	86823
867	35332	86783
868	35372	86742
869	35412	86699
870	35452	86656
871	35491	86612
872	35532	86572
873	35571	86528
874	35612	86486
875	35651	86443
876	35690	86399
877	35731	86357
