iter	F1	CrossEntropy
0	0.9783817171	0.6386821271
1	0.9843847595	0.5703443276
2	0.9771463867	0.5177151053
3	0.9862842893	0.4712689455
4	0.986267166	0.4276783378
5	0.9875156055	0.3870349089
6	0.986883198	0.3532751694
7	0.986883198	0.3233240972
8	0.9875	0.2944557957
9	0.9875156055	0.2694515939
10	0.9875156055	0.2469608814
11	0.986883198	0.2291930058
12	0.9875156055	0.2105584665
13	0.9881324172	0.1935099586
14	0.9881324172	0.1770652036
15	0.9875156055	0.1624803484
16	0.9875156055	0.1475240964
17	0.9881324172	0.1381623091
18	0.9887640449	0.1282304104
19	0.9881324172	0.1229973141
20	0.9887640449	0.1155592579
21	0.9881324172	0.1074433538
22	0.9887640449	0.1012738788
23	0.9893948846	0.09504549723
24	0.9893948846	0.08858448031
25	0.9893948846	0.08471559747
26	0.9918699187	0.07950915211
27	0.9931207004	0.07416467117
28	0.99375	0.06991576583
29	0.99375	0.06645072555
30	0.99375	0.06273866543
31	0.99375	0.05997650598
32	0.9943785134	0.05734981432
33	0.9943785134	0.054363995
34	0.9943785134	0.05192283519
35	0.9950062422	0.0501790992
36	0.9956277327	0.04783817397
37	0.9956277327	0.04619184538
38	0.9956277327	0.04384584639
39	0.9956277327	0.04251964762
40	0.9956277327	0.04123107275
41	0.9956277327	0.04011497413
42	0.9956277327	0.03857966582
43	0.9956277327	0.03749381331
44	0.9956277327	0.03601851866
45	0.9956277327	0.03497138119
46	0.9956277327	0.03396485478
47	0.9956277327	0.0330208896
48	0.9956277327	0.03157091763
49	0.9956277327	0.03036960993
50	0.9956277327	0.02965764638
51	0.9956277327	0.02925741377
52	0.99625	0.02861399067
53	0.9975	0.02757686764
54	0.9968769519	0.0266724444
55	0.9968769519	0.0258704239
56	0.9968769519	0.02529374598
57	0.9968769519	0.02488204861
58	0.9975031211	0.02452083975
59	0.9975	0.02409332655
60	0.9981261711	0.02379898627
61	0.9981261711	0.02335792776
62	0.9981261711	0.02303698536
63	0.9981261711	0.02243966893
64	0.9981261711	0.02215468419
65	0.9981261711	0.02154166968
66	0.9981261711	0.02130125741
67	0.9981261711	0.02087227373
68	0.9987515605	0.02050657425
69	0.9987515605	0.01994941356
70	0.9981261711	0.01959128353
71	0.9987515605	0.01922875939
72	0.9987515605	0.01881415258
73	0.9987515605	0.01840444357
74	0.9987515605	0.01806744016
75	0.9987515605	0.01782514844
76	0.9987515605	0.01749100453
77	0.9987515605	0.0173032254
78	0.9987515605	0.01693411051
79	0.9987515605	0.01679660208
80	0.9987515605	0.01646955298
81	0.9987515605	0.0162254478
82	0.9987515605	0.01593502823
83	0.9987515605	0.01558513705
84	0.9987515605	0.01538668422
85	0.9987515605	0.01504628779
86	0.9987515605	0.01484806452
87	0.9987515605	0.01453206113
88	0.9987515605	0.01429866844
89	0.9987515605	0.01409808815
90	0.9987515605	0.01391149267
91	0.9987515605	0.01370038604
92	0.9987515605	0.01348396242
93	0.9987515605	0.01327696966
94	0.9987515605	0.01307627364
95	0.9987515605	0.01290580293
96	0.9993753904	0.01270914996
97	0.9993753904	0.0125534487
98	0.9993753904	0.01234202363
99	0.9993753904	0.01223280565
100	0.9993753904	0.01209228532
101	0.9993753904	0.01191004083
102	0.9993753904	0.01183002074
103	0.9993753904	0.01163452321
104	0.9993753904	0.01150940143
105	0.9993753904	0.01142540008
106	0.9993753904	0.01126056728
107	0.9993753904	0.01111092503
108	0.9993753904	0.01096745047
109	0.9993753904	0.01087176231
110	0.9993753904	0.01071881455
111	0.9993753904	0.01062723437
112	0.9993753904	0.01043495708
113	0.9993753904	0.01032764059
114	0.9993753904	0.01025182845
115	0.9993753904	0.01011764331
116	0.9993753904	0.01000657324
117	0.9993753904	0.009887035975
118	0.9993753904	0.009768305388
119	0.9993753904	0.009627253489
120	0.9993753904	0.009547882196
121	0.9993753904	0.009459622686
122	0.9993753904	0.009289185649
123	0.9993753904	0.009163769873
124	0.9993753904	0.009057127418
125	0.9993753904	0.008930993315
126	0.9993753904	0.008867429861
127	0.9993753904	0.008740941239
128	0.9993753904	0.008595775192
129	0.9993753904	0.008536991703
130	0.9993753904	0.008423960415
131	0.9993753904	0.008307031853
132	0.9993753904	0.008261475531
133	0.9993753904	0.00820570389
134	0.9993753904	0.008157845761
135	0.9993753904	0.008077213171
136	0.9993753904	0.007952691732
137	0.9993753904	0.007886741476
138	0.9993753904	0.007819232991
139	0.9993753904	0.007764073352
140	0.9993753904	0.007652544696
141	0.9993753904	0.007615261384
142	0.9993753904	0.007557010229
143	0.9993753904	0.007471225771
144	0.9993753904	0.007373869074
145	0.9993753904	0.007304305099
146	0.9993753904	0.007215880572
147	0.9993753904	0.007158151288
148	0.9993753904	0.007115238544
149	0.9993753904	0.007054392327
150	0.9993753904	0.007021092438
151	0.9993753904	0.006925926498
152	0.9993753904	0.006835543502
153	0.9993753904	0.006780340038
154	0.9993753904	0.006700682496
155	0.9993753904	0.006649944742
156	1	0.006573281961
157	1	0.006487648078
158	1	0.006420067363
159	1	0.006366113434
160	1	0.006314656264
161	1	0.006251255905
162	1	0.006182934757
163	1	0.006104944809
164	1	0.00604127208
165	1	0.006005638305
166	1	0.005966602865
167	1	0.005929107173
168	1	0.005843472514
169	1	0.005817690977
170	1	0.005759200305
171	1	0.005712877957
172	1	0.005670537279
173	1	0.005629248805
174	1	0.005603941939
175	1	0.005570562906
176	1	0.005540750039
177	1	0.005511653013
178	1	0.005474137981
179	1	0.005446421666
180	1	0.00540895164
181	1	0.005353673548
182	1	0.005310905494
183	1	0.005264467179
184	1	0.005231329217
185	1	0.005195499729
186	1	0.005132930299
187	1	0.005089125586
188	1	0.005056008059
189	1	0.005007432342
